"kingdom","phylum","class","order","family","genus","species","strain"
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Slackia","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Ruminococcus","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Coprococcus","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.CAG-352","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Ruminococcus] gnavus group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] gnavus group",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Intestinibacter","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA,NA
"Bacteria.NA.NA.NA.NA.NA","Bacteria","NA","NA","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.NA.NA.NA","Bacteria","Firmicutes","Clostridia","NA","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Olsenella","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae NK4A136 group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridia UCG-014.NA.NA","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Megamonas","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Megamonas",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Anaerovoracaceae.Family XIII AD3011 group","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,NA
"Bacteria.Firmicutes.Bacilli.RF39.NA.NA","Bacteria","Firmicutes","Bacilli","RF39","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Libanicoccus","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Libanicoccus",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.CAG-56","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","CAG-56",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Fournierella","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Fournierella",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Fusicatenibacter","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.NK4A214 group","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ruminantium group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Megasphaera","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoclostridium","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Terrisporobacter","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA,NA
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Phascolarctobacterium","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.Coriobacteriaceae UCG-003","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae UCG-003",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] eligens group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] eligens group",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.[Eubacterium] siraeum group","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium] siraeum group",NA,NA
"Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae R-7 group","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group",NA,NA
"Bacteria.Firmicutes.NA.NA.NA.NA","Bacteria","Firmicutes","NA","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospira","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Alloprevotella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.UCG-003","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-003",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Veillonella","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.possible genus Sk018","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","possible genus Sk018",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Trabulsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Trabulsiella",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NA",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Mitsuokella","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Mitsuokella",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.CHKCI002","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","CHKCI002",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] hallii group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] hallii group",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] xylanophilum group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] xylanophilum group",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Howardella","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Howardella",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Oscillospiraceae.UCG-005","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Butyrivibrio","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Butyrivibrio",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae UCG-004","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.[Ruminococcus] gauvreauii group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus] gauvreauii group",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae NK4B4 group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4B4 group",NA,NA
"Bacteria.Firmicutes.Bacilli.Staphylococcales.Staphylococcaceae.Staphylococcus","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Asteroleplasma","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Asteroleplasma",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae FCS020 group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Solobacterium","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Cronobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA,NA
"Bacteria.Firmicutes.Bacilli.Staphylococcales.Gemellaceae.Gemella","Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.NA","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","NA",NA,NA
"Bacteria.Cyanobacteria.Vampirivibrionia.Gastranaerophilales.NA.NA","Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.UBA1819","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UBA1819",NA,NA
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.NA","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.NA.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Pseudocitrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudocitrobacter",NA,NA
"Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.Saccharimonadaceae.TM7x","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7x",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Micrococcaceae.Kocuria","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Pediococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae RC9 gut group","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Sarcina","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Sarcina",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae UCG-006","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-006",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Anaerovibrio","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Muribaculaceae.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Actinobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelatoclostridium","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinomyces","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Coriobacteriales Incertae Sedis.NA","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Nocardiaceae.Rhodococcus","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Atopobiaceae.NA","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.GCA-900066575","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GCA-900066575",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Parvibacter","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Parvibacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Hungatella","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Paraprevotella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Peptoclostridium","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptoclostridium",NA,NA
"Bacteria.Patescibacteria.Saccharimonadia.Saccharimonadales.NA.NA","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","NA","NA",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Allisonella","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Allisonella",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalitalea","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Turicibacter","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Barnesiellaceae.Barnesiella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.UCG-010.NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Butyricicoccaceae.Butyricicoccus","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",NA,NA
