"kingdom","phylum","class","order","family","genus","species","strain"
"Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae.Methanosphaera","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Chloroplast.NA.NA","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Pectinatus","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Pectinatus",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.NA.NA","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.Paraherbaspirillum","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Paraherbaspirillum",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Asaccharobacter","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Asaccharobacter",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","NA",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Acetitomaculum","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetitomaculum",NA,NA
"Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.NA.NA","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","NA","NA",NA,NA
"Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Leptotrichiaceae.Leptotrichia","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia",NA,NA
"Bacteria.Bacteroidota.NA.NA.NA.NA","Bacteria","Bacteroidota","NA","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Stomatobaculum","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Stomatobaculum",NA,NA
"Archaea.Thermoplasmatota.Thermoplasmata.Methanomassiliicoccales.Methanomethylophilaceae.Candidatus Methanomethylophilus","Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Candidatus Methanomethylophilus",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Aggregatibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Pectobacteriaceae.Nissabacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Nissabacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinatimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinatimonas",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalibaculum","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.NA.NA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Abiotrophia","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Synergistes","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Synergistes",NA,NA
"Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfobaculum","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfobaculum",NA,NA
"Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Catabacter","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Catabacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnoanaerobaculum","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoanaerobaculum",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.NA","Bacteria","Firmicutes","Clostridia","Clostridiales","NA","NA",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.NA.NA.NA","Bacteria","Verrucomicrobiota","Verrucomicrobiae","NA","NA","NA",NA,NA
"Bacteria.Spirochaetota.Brachyspirae.Brachyspirales.Brachyspiraceae.Brachyspira","Bacteria","Spirochaetota","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinifilaceae.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","NA",NA,NA
"Bacteria.Verrucomicrobiota.Verrucomicrobiae.Verrucomicrobiales.NA.NA","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","NA","NA",NA,NA
"Bacteria.Verrucomicrobiota.NA.NA.NA.NA","Bacteria","Verrucomicrobiota","NA","NA","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinotignum","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.F0332","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","F0332",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium sensu stricto 4","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 4",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Scardovia","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.gir-aah93h0.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","gir-aah93h0","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Lautropia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Jonquetella","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Jonquetella",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Pyramidobacter","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Selenomonas","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.NA","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","NA",NA,NA
"Bacteria.Firmicutes.Syntrophomonadia.Syntrophomonadales.Syntrophomonadaceae.Pelospora","Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Pelospora",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Enteroscipio","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enteroscipio",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.NA.NA.NA","Bacteria","Cyanobacteria","Cyanobacteriia","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Dubosiella","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella",NA,NA
"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.Succiniclasticum","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Kluyvera","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae AC2044 group","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae AC2044 group",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotellaceae Ga6A1 group","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae Ga6A1 group",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Alloscardovia","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Epulopiscium","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Rahnella1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Rahnella1",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Serratia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.DNF00809","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","DNF00809",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Johnsonella","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Johnsonella",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Clostridioides","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Clostridioides",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Paeniclostridium","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Paeniclostridium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Sutterellaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Finegoldia.NA","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Finegoldia","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Erwiniaceae.Pantoea","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ruminococcaceae.Harryflintia","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Harryflintia",NA,NA
"Bacteria.Firmicutes.Clostridia.Eubacteriales.Eubacteriaceae.Pseudoramibacter","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Pseudoramibacter",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Schwartzia","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Schwartzia",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Selenomonadaceae.Propionispira","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Propionispira",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Lachnospiraceae UCG-002","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-002",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Carnobacterium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerosporobacter","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.(unclassified).Anoxynatronum","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","(unclassified)","Anoxynatronum",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Comamonadaceae.Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Anaeroglobus","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Anaeroglobus",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Pseudobutyrivibrio","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Pseudobutyrivibrio",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae UCG-009","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-009",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Chroococcidiopsaceae.NA","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Chroococcidiopsaceae","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Erwiniaceae.Phaseolibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Phaseolibacter",NA,NA
"Bacteria.Firmicutes.Clostridia.Caldicoprobacterales.Caldicoprobacteraceae.Caldicoprobacter","Bacteria","Firmicutes","Clostridia","Caldicoprobacterales","Caldicoprobacteraceae","Caldicoprobacter",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.NA","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","NA",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.P6-b51.NA","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","P6-b51","NA",NA,NA
"Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.NA.NA","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Allobaculum","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Allobaculum",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Helcococcus.NA","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Helcococcus","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium sensu stricto 2","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 2",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Vibrio","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Trueperella","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Actinobaculum","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.MB19.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","MB19","NA",NA,NA
"Bacteria.Firmicutes.Negativicutes.Veillonellales-Selenomonadales.Veillonellaceae.Negativicoccus","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus",NA,NA
"Bacteria.Firmicutes.Bacilli.Paenibacillales.Paenibacillaceae.Ammoniibacillus","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Ammoniibacillus",NA,NA
"Bacteria.Spirochaetota.Spirochaetia.Spirochaetales.Spirochaetaceae.Sphaerochaeta","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sphaerochaeta",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Filifactor","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Filifactor",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Phyllobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Actinomycetales.Actinomycetaceae.Mobiluncus","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Micrococcaceae.Pseudoglutamicibacter","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudoglutamicibacter",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Paraeggerthella","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Paraeggerthella",NA,NA
"Bacteria.Firmicutes.Bacilli.Mycoplasmatales.Mycoplasmataceae.Mycoplasma","Bacteria","Firmicutes","Bacilli","Mycoplasmatales","Mycoplasmataceae","Mycoplasma",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Murdochiella.NA","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Murdochiella","NA",NA,NA
"Bacteria.Firmicutes.Clostridia.Hungateiclostridiaceae.NA.NA","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Paenibacillales.Paenibacillaceae.Paenibacillus","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium sensu stricto 13","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae UCG-007","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-007",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Erwiniaceae.Siccibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Siccibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Neisseriaceae.Eikenella","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Eikenella",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Incertae Sedis","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Incertae Sedis",NA,NA
"Bacteria.Firmicutes.Clostridia.Hungateiclostridiaceae.Mageibacillus.NA","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Mageibacillus","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Vagococcaceae.Vagococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Shimwellia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shimwellia",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Erwiniaceae.Incertae Sedis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Incertae Sedis",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae.Lentimicrobium","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium",NA,NA
"Bacteria.Synergistota.Synergistia.Synergistales.Synergistaceae.Fretibacterium","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Fretibacterium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Nocardiaceae.NA","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Dermabacteraceae.Dermabacter","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Propionibacteriales.Propionibacteriaceae.Pseudopropionibacterium","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Pseudopropionibacterium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Microbacterium","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Bulleidia","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Cellulosilyticum","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Cellulosilyticum",NA,NA
"Bacteria.Firmicutes.Clostridia.Oscillospirales.Ethanoligenenaceae.NA","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ethanoligenenaceae","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Globicatella","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Globicatella",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Oligella","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Oligella",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Morganellaceae.Providencia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Parascardovia","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Parascardovia",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Facklamia","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Aerococcaceae.Aerococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus",NA,NA
"Bacteria.Firmicutes.Moorellia.Desulfitibacterales.Desulfitibacteraceae.Desulfitibacter","Bacteria","Firmicutes","Moorellia","Desulfitibacterales","Desulfitibacteraceae","Desulfitibacter",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Propionibacteriales.Propionibacteriaceae.Propionibacterium","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propionibacterium",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.[Eubacterium] tenue group","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","[Eubacterium] tenue group",NA,NA
"Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.[Anaerorhabdus] furcosa group","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","[Anaerorhabdus] furcosa group",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Sedimentibacteraceae.Sedimentibacter","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Sedimentibacteraceae","Sedimentibacter",NA,NA
"Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Denitrobacterium","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Denitrobacterium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Hafniaceae.Edwardsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Anaerovoracaceae.Anaerovorax","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Peptostreptococcaceae.Criibacterium","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Criibacterium",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Dermabacteraceae.Helcobacillus","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Helcobacillus",NA,NA
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium sensu stricto 3","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 3",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Gallicola.NA","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Gallicola","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,NA
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactovum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactovum",NA,NA
